s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
314,Hannah Wilke ,Hername,,MoMA,America,TRUE,5,"print, sixteen etchings on one sheet",6231,1991,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,4,0,0,0,0,FALSE,3,5,0,"self-description using text, words like ""epiphany,"" ""chance"" & ""thank you"" which include the letters ""h,"" ""a"" & ""n."" She stacked 6 copies of each phrase, shifting them left & right, capitalizing the key letters so each vertical block spells ""HANNAH"". From distance this capitalization reads as a darker vertical line crossing at different points & each block reads as an arrow. Small size of letters in relation to paper & value are quiet but maybe not uncertainty though"
315,John Cage,River Rock and Smoke 4/13/90 #5,conceptual,MoMA,America,FALSE,3,"painting, soot & watercolor on paper",5054,1990,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,4,4,0,0,2,FALSE,0,0,5,"called 'River Rock and Smoke', materials are soot & watercolor, empty space, placement of shape of rock at bottom of vertical seen against vaporous, light marks; here chance operations are performed by smoke settling in the fibers of the paper to imprint swirling structures - demonstrates the interaction of the 4 elements: earth, air, fire, & water. use of chance & systems in his work"
316,John Cage ,IX from Mushroom Book,conceptual,MoMA,America,TRUE,5,"print, lithograph",2907,1972,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,3,1,0,4,1,FALSE,0,5,0,"overlapping text & erasure & different angles & writing off the page, all directions"
317,David Rabinowitch,Helleboros,,MoMA,Canada,FALSE,1,"drawing, charcoal & crayon on paper",46487,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,4,4,0,0,0,FALSE,0,5,0,"repetition & incompleteness, floating repeated varying lines, sense of handmade, uneven edges, varying weights, thick charcoal & thin crayon markmaking"
318,Gerhard Richter ,24.4.90,conceptual,MoMA,Germany,FALSE,1,"drawing, pencil on paper",630,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,4,5,0,2,2,FALSE,3,5,5,"illusion, possible folds in paper / erasure lines, shadows, varied line orientation, hard to tell the space, lines over the points, different systems"
319,Philip-Lorca diCorcia,"William Charles Everlove; 26 years old; Stockholm, Sweden via Arizona; $40",,MoMA,America,FALSE,4,"photo, chromogenic color print",5340,1992,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,0,2,0,4,TRUE,0,0,5,"theatrically constructed photos, storytelling, unstable meaning, hard to tell if person is inside or out (reflection), call into question normal relationship of appearance to truth in photography"
320,"Tim Rollins, K.O.S. (Kids of Survival) ",VIII from The Temptation of Saint Antony I-XIV,,MoMA,America,TRUE,5,"print, one from a portfolio of 14 aquatints on xerograph with chine collÃŒÂ©",294,1989,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,4,0,2,3,FALSE,5,5,5,"overlapping, abstract & text combined, K.O.S. is a group, fyi. Interesting use of texture over text - poured opposite way - to give unsettling effect"
321,Alan Saret ,Untitled,,James Cohan Gallery also MoMA,America,FALSE,6,"sculpture, tin coated copper wire",91140,1875,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,4,3,0,4,4,FALSE,0,5,0,"abstract, suspended, lightweight, partially see-through, different weights of wire, delicacy & suggestion & searching quality to this work"
322,Gego (Gertrud Goldschmidt),"Ledge II, no. 88/37",,MoMA,Germany,FALSE,6,"sculpture, steel, lead & plastic",320000,1988,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,3,3,0,4,4,FALSE,0,5,0,"suspended, combination of materials, varied quality of lines, dense wire activity, description of almost architectural shape, plastic tubes connecting each of the 4 areas"
323,Michael Heizer,Levitated Mass,,Gagosian also MoMA,America,FALSE,6,"sculpture, diorite granite, concrete",10058040000,2012,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,0,4,0,0,1,FALSE,0,0,5,"very heavy large rock, balanced across slanted walkway between 2 walls, looks placed precariously"
324,Fred Sandback,"Untitled (Fourth of Ten Corner Constructions, Sculptural Study, Yellow Version)",,David Zwirner also MoMA,America,FALSE,6,"sculpture, gold acrylic yarn",3429348,1981,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,2,2,1,2,2,FALSE,0,5,0,"placing of parallel lines across a corner to convey sense of an outlined space, openness of space described by yarn, position off the ground & across the corner"
325,Harry Callahan,Detroit,,MoMA,America,FALSE,4,"photo, gelatin silver print",88,1943,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,4,2,0,0,2,FALSE,0,3,5,"repetition, overlaying & semi-transparent, multiple techniques (transparency, repeating, overlaying images) which creates some uncertainty"
326,Georg Herold ,Earthquake Piece,,MoMA,Germany,FALSE,4,"photo, photolithograph",3360,1989,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,0,0,0,4,FALSE,0,0,5,"repetition of partial images of forehead frown lines in grid format, different shapes, selection of foreheads only, interesting cut-off images in repeated format, not quite uncertain but interesting idea for uncertainty"
327,Not Vital,Untitled,,MoMA,Switzerland,FALSE,3,"painting, synthetic polymer paint and oil stick on paper",29376,1984,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,4,0,0,4,FALSE,0,5,5,"half abstract, half representational, markmaking, sparseness of objects, different handling of paint, hard to tell what objects are"
328,Joseph Beuys,I Like America and America Likes Me,,Tate also MoMA,Germany,FALSE,4,"photo, still image of 3 day performance",0,1984,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,0,0,0,3,FALSE,0,0,5,"threat of combination of coyote & human, 3 days performance in room w/ coyote"
